symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi,exit_reason
EURUSD,-1,2022-09-19,2022-09-23,316.29999999999933,314.79999999999933,313.29999999999933,control,-0.47496051286815943,friday_flat
GBPUSD,-1,2022-09-19,2022-09-23,560.5000000000015,559.0000000000015,557.5000000000015,control,-0.03121740989916602,friday_flat
USDJPY,-1,2022-09-19,2022-09-22,-240.79285714285845,-242.29285714285845,-243.79285714285845,control,-0.04788155447329935,stop
EURUSD,-1,2022-09-26,2022-09-30,-180.10714285714212,-181.60714285714212,-183.10714285714212,control,0.32793347705574377,stop
GBPUSD,-1,2022-09-26,2022-09-29,-228.78214285714236,-230.28214285714236,-231.78214285714236,control,0.05188982143863009,stop
USDJPY,-1,2022-09-26,2022-09-30,-115.99999999999966,-117.49999999999966,-118.99999999999966,control,0.06647083207117006,friday_flat
EURUSD,-1,2022-10-03,2022-10-04,-195.25714285714255,-196.75714285714255,-198.25714285714255,control,0.02085900117475144,stop
EURUSD,-1,2022-10-10,2022-10-14,7.800000000000029,6.300000000000029,4.800000000000029,control,0.01761006289308176,friday_flat
GBPUSD,1,2022-10-10,2022-10-14,98.30000000000005,96.80000000000005,95.30000000000005,control,0.06896296699960297,friday_flat
USDJPY,1,2022-10-10,2022-10-14,354.20000000000016,352.70000000000016,351.20000000000016,control,0.042640645487465524,friday_flat
EURUSD,-1,2022-10-17,2022-10-21,-144.19999999999987,-145.69999999999987,-147.19999999999987,control,-0.029505164174502854,friday_flat
USDJPY,1,2022-10-24,2022-10-24,-199.39285714285688,-200.89285714285688,-202.39285714285688,control,-0.06869241102681022,stop
GBPUSD,-1,2022-11-07,2022-11-08,-271.24285714285713,-272.74285714285713,-274.24285714285713,control,0.031270914682466365,stop
USDJPY,1,2022-11-07,2022-11-10,-313.74642857142874,-315.24642857142874,-316.74642857142874,control,0.04712521146670993,stop
EURUSD,1,2022-11-14,2022-11-18,-19.299999999999873,-20.799999999999873,-22.299999999999873,control,-0.025160931934777635,friday_flat
GBPUSD,1,2022-11-21,2022-11-25,199.89999999999952,198.39999999999952,196.89999999999952,control,0.07936045753622306,friday_flat
USDJPY,-1,2022-11-21,2022-11-25,108.60000000000127,107.10000000000127,105.60000000000127,control,0.0698876346712607,friday_flat
USDJPY,-1,2022-11-28,2022-12-02,494.80000000000075,493.30000000000075,491.80000000000075,control,0.025141249148108252,friday_flat
EURUSD,1,2022-12-05,2022-12-09,2.7999999999983594,1.2999999999983594,-0.20000000000164064,control,0.016109625668449198,friday_flat
EURUSD,1,2022-12-12,2022-12-16,61.500000000000995,60.000000000000995,58.500000000000995,control,0.047063476369388964,friday_flat
GBPUSD,-1,2022-12-12,2022-12-16,98.79999999999889,97.29999999999889,95.79999999999889,control,0.018244894946398565,friday_flat
USDJPY,1,2022-12-12,2022-12-16,27.599999999998204,26.099999999998204,24.599999999998204,control,0.022258128043540534,friday_flat
USDJPY,1,2022-12-19,2022-12-20,-298.4785714285721,-299.9785714285721,-301.4785714285721,control,0.036164325619922104,stop
EURUSD,-1,2022-12-26,2022-12-30,-69.39999999999947,-70.89999999999947,-72.39999999999947,control,-0.2825379233912863,friday_flat
GBPUSD,-1,2022-12-26,2022-12-30,-36.70000000000062,-38.20000000000062,-39.70000000000062,control,0.09099624000085213,friday_flat
USDJPY,-1,2022-12-26,2022-12-30,155.4000000000002,153.9000000000002,152.4000000000002,control,0.07878198578287572,friday_flat
EURUSD,1,2023-01-02,2023-01-03,-118.03928571428645,-119.53928571428645,-121.03928571428645,control,-0.0241085558436311,stop
USDJPY,1,2023-01-02,2023-01-06,121.7000000000013,120.2000000000013,118.7000000000013,control,0.04779479715368266,friday_flat
GBPUSD,-1,2023-01-09,2023-01-13,-158.10000000000102,-159.60000000000102,-161.10000000000102,control,-0.015273038372172155,friday_flat
