strategy,symbol,signal_ms,entry_ms,exit_ms,direction,signal_score,entry_price,exit_price,stop_price,target_price,initial_stop_pips,exit_reason,gross_pips,net_pips_a,net_pips_b,net_r_a,net_r_b
PRIMARY,EURUSD,1628832600000,1628833500000,1628833500000,-1,-7.4429023124295535,1.17398,1.1740300000000001,1.1740300000000001,1.1738799999999998,0.5000000000010552,stop,-0.5000000000010552,-1.3000000000010552,-1.7000000000010551,-2.5999999999966237,-3.399999999994935
PRIMARY,GBPUSD,1628835300000,1628836200000,1628836200000,-1,-6.768162177445555,1.38104,1.381245,1.381245,1.3806300000000002,2.049999999998997,stop,-2.0500000000001073,-2.850000000000107,-3.2500000000001075,-1.3902439024397568,-1.5853658536593647
PRIMARY,EURUSD,1628836200000,1628837100000,1628838900000,1,4.464666990257642,1.17401,1.17402,1.1739199999999999,1.17419,0.9000000000003451,time_stop,0.10000000000065512,-0.6999999999993449,-1.0999999999993448,-0.7777777777767517,-1.2222222222210257
PRIMARY,GBPUSD,1628836200000,1628837100000,1628838900000,1,4.781614302803223,1.3814199999999999,1.3813,1.3812624999999998,1.381735,1.5750000000003261,time_stop,-1.1999999999989797,-1.9999999999989797,-2.39999999999898,-1.2698412698403592,-1.5238095238085605
PRIMARY,EURUSD,1628838900000,1628839800000,1628839800000,-1,-4.109951465276804,1.17397,1.17391,1.174,1.17391,0.29999999999974486,target,0.5999999999994898,-0.20000000000051021,-0.6000000000005101,-0.6666666666689344,-2.0000000000034013
PRIMARY,GBPUSD,1628841600000,1628842500000,1628842500000,-1,-4.56727606264184,1.38129,1.3813374999999999,1.3813374999999999,1.381195,0.4749999999997812,both_hit_adverse_first,-0.47499999999978115,-1.2749999999997812,-1.674999999999781,-2.684210526316565,-3.5263157894748476
PRIMARY,EURUSD,1628843400000,1628844300000,1628844300000,1,9.74241205888614,1.17391,1.1738525000000002,1.1738525000000002,1.1740249999999999,0.5749999999993259,stop,-0.5749999999982158,-1.3749999999982159,-1.7749999999982158,-2.3913043478257876,-3.0869565217396464
PRIMARY,EURUSD,1628844300000,1628845200000,1628845200000,-1,-5.712707627447205,1.1736900000000001,1.173475,1.1737975000000003,1.173475,1.0750000000003812,target,2.1500000000007624,1.3500000000007624,0.9500000000007625,1.255813953488636,0.8837209302329541
PRIMARY,EURUSD,1628848800000,1628849700000,1628849700000,1,5.646445704024187,1.17351,1.17341,1.17341,1.17371,0.99999999999989,stop,-0.9999999999998899,-1.79999999999989,-2.19999999999989,-1.800000000000088,-2.200000000000132
PRIMARY,GBPUSD,1628851500000,1628852400000,1628852400000,1,10.38282092883221,1.38087,1.3806825,1.3806825,1.381245,1.8750000000000713,stop,-1.875000000000071,-2.675000000000071,-3.0750000000000712,-1.4266666666666503,-1.6399999999999757
