position_id,open_time,close_time,decision_time,direction,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r
1558,2021.10.29 03:05:00,2021.10.29 03:49:24,2021.10.29 03:00:00,BUY,0.15,1.16872,1.16809,1.16809,1.16998,63.0,9.45,-10.049999999999999,-1.0634920634920635
1560,2021.11.01 00:45:00,2021.11.01 00:51:53,2021.11.01 00:40:00,SELL,0.32,1.15584,1.15614,1.15614,1.15524,30.0,9.6,-10.879999999999999,-1.1333333333333333
1562,2021.11.01 02:20:00,2021.11.01 02:22:53,2021.11.01 02:15:00,SELL,0.32,1.15533,1.15563,1.15563,1.15473,30.0,9.6,-10.879999999999999,-1.1333333333333333
1564,2021.11.02 02:20:00,2021.11.02 04:20:00,2021.11.02 02:15:00,SELL,0.26,1.15969,1.15965,1.16006,1.15895,37.0,9.62,0.0,0.0
1566,2021.11.03 03:00:00,2021.11.03 03:27:24,2021.11.03 02:55:00,BUY,0.44,1.15798,1.15776,1.15776,1.15842,22.0,9.68,-11.44,-1.1818181818181819
1568,2021.11.04 03:05:00,2021.11.04 03:37:13,2021.11.04 03:00:00,SELL,0.46,1.16111,1.16068,1.16132,1.16069,21.0,9.66,17.94,1.8571428571428572
1570,2021.11.05 02:35:00,2021.11.05 02:56:16,2021.11.05 02:30:00,SELL,0.36,1.15493,1.1552,1.1552,1.15439,27.0,9.72,-11.16,-1.1481481481481481
1572,2021.11.08 01:10:00,2021.11.08 02:42:36,2021.11.08 01:05:00,BUY,0.25,1.15666,1.15628,1.15628,1.15742,38.0,9.5,-10.5,-1.105263157894737
1574,2021.11.09 02:35:00,2021.11.09 02:55:31,2021.11.09 02:30:00,SELL,0.44,1.1584,1.15796,1.15862,1.15796,22.0,9.68,17.599999999999998,1.8181818181818181
1576,2021.11.10 02:05:00,2021.11.10 02:07:34,2021.11.10 02:00:00,BUY,0.51,1.15946,1.15926,1.15927,1.15984,19.0,9.69,-12.239999999999998,-1.263157894736842
1578,2021.11.11 02:20:00,2021.11.11 02:30:26,2021.11.11 02:15:00,BUY,0.28,1.14869,1.14834,1.14835,1.14937,34.0,9.52,-10.920000000000002,-1.147058823529412
1580,2021.11.12 02:05:00,2021.11.12 02:23:36,2021.11.12 02:00:00,SELL,0.26,1.14447,1.14485,1.14484,1.14373,37.0,9.62,-10.920000000000002,-1.1351351351351353
1582,2021.11.15 02:05:00,2021.11.15 03:33:59,2021.11.15 02:00:00,BUY,0.31,1.14438,1.145,1.14407,1.145,31.0,9.61,17.98,1.870967741935484
1584,2021.11.16 02:35:00,2021.11.16 04:18:37,2021.11.16 02:30:00,BUY,0.28,1.13742,1.13811,1.13708,1.1381,34.0,9.52,18.2,1.911764705882353
1586,2021.11.17 02:25:00,2021.11.17 02:36:59,2021.11.17 02:20:00,BUY,0.24,1.13232,1.13192,1.13192,1.13312,40.0,9.6,-10.559999999999999,-1.0999999999999999
1588,2021.11.18 02:10:00,2021.11.18 02:33:36,2021.11.18 02:05:00,BUY,0.33,1.13209,1.13179,1.1318,1.13267,29.0,9.57,-11.22,-1.1724137931034484
1590,2021.11.19 03:10:00,2021.11.19 04:59:30,2021.11.19 03:05:00,SELL,0.25,1.13618,1.13539,1.13657,1.1354,39.0,9.75,18.75,1.9230769230769231
1592,2021.11.22 02:25:00,2021.11.22 02:36:21,2021.11.22 02:20:00,BUY,0.28,1.12868,1.12834,1.12834,1.12936,34.0,9.52,-10.64,-1.1176470588235294
1594,2021.11.23 02:25:00,2021.11.23 02:37:25,2021.11.23 02:20:00,BUY,0.39,1.12437,1.12412,1.12412,1.12487,25.0,9.75,-11.31,-1.1600000000000001
1596,2021.11.24 03:00:00,2021.11.24 03:12:04,2021.11.24 02:55:00,SELL,0.46,1.12421,1.12443,1.12442,1.12379,21.0,9.66,-11.959999999999999,-1.238095238095238
1598,2021.11.25 02:05:00,2021.11.25 02:17:33,2021.11.25 02:00:00,BUY,0.46,1.1204,1.12082,1.12019,1.12082,21.0,9.66,17.48,1.8095238095238095
1600,2021.11.26 02:25:00,2021.11.26 04:25:00,2021.11.26 02:20:00,BUY,0.11,1.12144,1.12131,1.12059,1.12314,85.0,9.35,-1.8699999999999999,-0.19999999999999998
1602,2021.11.29 01:00:00,2021.11.29 01:11:25,2021.11.29 00:55:00,SELL,0.15,1.12992,1.12868,1.13054,1.12868,62.0,9.3,18.0,1.9354838709677418
1604,2021.11.29 02:05:00,2021.11.29 02:07:24,2021.11.29 02:00:00,BUY,0.16,1.12934,1.12875,1.12875,1.13052,59.0,9.44,-10.08,-1.0677966101694916
1606,2021.11.30 02:20:00,2021.11.30 02:54:15,2021.11.30 02:15:00,SELL,0.39,1.12872,1.12897,1.12897,1.12822,25.0,9.75,-11.31,-1.1600000000000001
1608,2021.12.01 02:55:00,2021.12.01 03:27:13,2021.12.01 02:50:00,SELL,0.2,1.13288,1.1319,1.13337,1.1319,49.0,9.8,18.8,1.9183673469387754
1610,2021.12.02 02:15:00,2021.12.02 02:45:02,2021.12.02 02:10:00,SELL,0.46,1.13167,1.13188,1.13188,1.13125,21.0,9.66,-11.5,-1.1904761904761905
1612,2021.12.03 02:35:00,2021.12.03 03:03:34,2021.12.03 02:30:00,SELL,0.4,1.13026,1.12978,1.1305,1.12978,24.0,9.6,17.599999999999998,1.8333333333333333
1614,2021.12.06 02:15:00,2021.12.06 02:15:30,2021.12.06 02:10:00,SELL,0.49,1.13007,1.13027,1.13027,1.12967,20.0,9.8,-11.760000000000002,-1.2000000000000002
1616,2021.12.07 02:20:00,2021.12.07 02:26:59,2021.12.07 02:15:00,SELL,0.46,1.12816,1.12837,1.12837,1.12774,21.0,9.66,-11.5,-1.1904761904761905
1618,2021.12.08 02:05:00,2021.12.08 04:05:00,2021.12.08 02:00:00,BUY,0.24,1.12755,1.12807,1.12715,1.12835,40.0,9.6,11.52,1.2
