case_id,sample_rank,position_id,entry_time_utc,decision_time_utc,direction,direction_label,entry,sl,tp,exit_time_utc,exit,reason,label,net_account,net_R,volume,risk_points,initial_risk_account,hold_minutes,entry_year
R100_065_PID000000220,65,220,2020-08-26T03:50:00,2020-08-26T03:45:00,-1,SELL,1.18294,1.18336,1.1821,2020-08-26T04:49:59,1.1834,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.50000000,-1.1904761905,0.23,42.0,9.66,59.9833,2020
R100_066_PID000000356,66,356,2021-07-08T04:05:00,2021-07-08T04:00:00,-1,SELL,1.17881,1.17927,1.17789,2021-07-08T04:26:15,1.17927,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.50000000,-1.0869565217,0.21,46.0,9.66,21.2500,2021
R100_067_PID000000280,67,280,2021-01-15T02:40:00,2021-01-15T02:35:00,1,BUY,1.21563,1.21547,1.21595,2021-01-15T02:41:24,1.21547,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.40000000,-1.2500000000,0.62,16.0,9.92,1.4000,2021
R100_068_PID000000372,68,372,2021-08-20T03:20:00,2021-08-20T03:15:00,1,BUY,1.16802,1.1676,1.16886,2021-08-20T05:20:00,1.16794,TIMEOUT_OR_OTHER,LOSS_NET_NONPOSITIVE,-2.76000000,-0.2857142857,0.23,42.0,9.66,120.0000,2021
R100_069_PID000000238,69,238,2020-11-03T02:20:00,2020-11-03T02:15:00,-1,SELL,1.16393,1.16419,1.16341,2020-11-03T02:23:18,1.16419,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.40000000,-1.1538461538,0.38,26.0,9.88,3.3000,2020
R100_070_PID000000266,70,266,2020-12-22T03:05:00,2020-12-22T03:00:00,-1,SELL,1.22326,1.22374,1.2223,2020-12-22T03:29:37,1.22375,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.60000000,-1.1041666667,0.2,48.0,9.6,24.6167,2020
R100_071_PID000000482,71,482,2022-07-25T00:55:00,2022-07-25T00:50:00,1,BUY,1.02173,1.02141,1.02237,2022-07-25T01:00:21,1.02139,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.78000000,-1.1875000000,0.31,32.0,9.92,5.3500,2022
R100_072_PID000000118,72,118,2019-12-13T02:20:00,2019-12-13T02:15:00,-1,SELL,1.11742,1.11815,1.11596,2019-12-13T03:33:04,1.11817,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.27000000,-1.0821917808,0.13,73.0,9.49,73.0667,2019
R100_073_PID000000016,73,16,2019-03-12T03:50:00,2019-03-12T03:45:00,1,BUY,1.12607,1.12582,1.12657,2019-03-12T04:00:32,1.12581,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.70000000,-1.2000000000,0.39,25.0,9.75,10.5333,2019
R100_074_PID000000322,74,322,2021-04-19T02:10:00,2021-04-19T02:05:00,-1,SELL,1.19714,1.19739,1.19664,2021-04-19T03:50:25,1.1974,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.70000000,-1.2000000000,0.39,25.0,9.75,100.4167,2021
R100_075_PID000000272,75,272,2021-01-04T03:25:00,2021-01-04T03:20:00,1,BUY,1.22472,1.22407,1.22602,2021-01-04T05:25:00,1.22551,TIMEOUT_OR_OTHER,WIN_NET_POSITIVE,11.25000000,1.1538461538,0.15,65.0,9.75,120.0000,2021
R100_076_PID000000078,76,78,2019-08-27T03:20:00,2019-08-27T03:15:00,1,BUY,1.11032,1.1101,1.11076,2019-08-27T04:01:15,1.11008,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.60000000,-1.2727272727,0.45,22.0,9.9,41.2500,2019
