position_id,engine_name,outcome,net_r,conservative_mfe_r,conservative_mae_r,reached_0_25r,reached_0_50r,reached_1_00r
380,BREAKOUT_LONG,LOSS,-1.15625,0.15625000000039033,1.031250000000217,False,False,False
382,TREND_SHORT,LOSS,-1.04166667,0.010416666666736537,1.0,False,False,False
384,TREND_SHORT,WIN,0.33663366,0.7326732673267283,0.6732673267327168,True,True,False
386,TREND_SHORT,LOSS,-1.02816901,0.11971830985915934,1.0,False,False,False
388,TREND_SHORT,LOSS,-1.02919708,0.350364963503652,1.0,True,False,False
390,TREND_LONG,WIN,1.47904192,1.502994011976001,0.4191616766466453,True,True,True
392,BREAKOUT_SHORT,WIN,1.43636364,1.5090909090909679,0.6181818181817741,True,True,True
394,TREND_SHORT,LOSS,-1.032,0.2879999999999389,1.0,True,False,False
396,RANGE_SHORT,LOSS,-1.06451613,0.14516129032244202,1.0,False,False,False
398,TREND_LONG,LOSS,-1.06451613,0.016129032257810354,1.0,False,False,False
400,TREND_LONG,LOSS,-1.03100775,0.22480620155030887,1.0,False,False,False
402,RANGE_SHORT,LOSS,-1.11111111,0.0,1.0,False,False,False
404,BREAKOUT_SHORT,WIN,1.375,1.4999999999996532,0.21874999999997832,True,True,True
406,TREND_SHORT,WIN,1.43939394,1.4999999999998317,0.015151515151612003,True,True,True
408,TREND_SHORT,LOSS,-1.04081633,0.20408163265304272,1.0,False,False,False
410,BREAKOUT_SHORT,WIN,1.49350649,1.5454545454547028,0.2987012987012613,True,True,True
412,TREND_SHORT,LOSS,-1.03076923,0.4230769230767654,1.0,True,False,False
414,BREAKOUT_LONG,WIN,1.38461538,1.5384615384626552,0.0,True,True,True
416,TREND_SHORT,WIN,0.06716418,0.4029850746268187,0.5298507462686011,True,False,False
418,BREAKOUT_SHORT,WIN,1.41025641,1.5128205128211698,0.025641025641200823,True,True,True
420,TREND_SHORT,LOSS,-1.05405405,0.7162162162164433,1.0,True,True,False
422,TREND_LONG,WIN,1.47692308,1.5076923076921869,0.5538461538461618,True,True,True
424,BREAKOUT_LONG,WIN,1.4,1.5000000000005551,0.27500000000016656,True,True,True
426,BREAKOUT_LONG,LOSS,-1.13513514,0.24324324324290264,1.027027027026589,False,False,False
428,BREAKOUT_LONG,LOSS,-1.10810811,0.13513513513482697,1.0,False,False,False
430,TREND_SHORT,WIN,0.2300885,0.8761061946904203,0.3893805309734983,True,True,False
432,TREND_LONG,LOSS,-1.06666667,0.2833333333332655,1.0,True,False,False
434,TREND_LONG,LOSS,-1.02684564,0.16778523489923686,1.0,False,False,False
436,TREND_SHORT,WIN,0.66225166,1.0728476821192463,0.05298013245038761,True,True,True
438,TREND_LONG,WIN,1.46268657,1.4925373134327047,0.4104477611940311,True,True,True
440,TREND_LONG,LOSS,-1.04597701,0.17241379310327226,1.0,False,False,False
442,BREAKOUT_LONG,WIN,1.40625,1.5312500000009108,0.6562499999996965,True,True,True
444,TREND_SHORT,LOSS,-1.04705882,0.0,1.0,False,False,False
446,BREAKOUT_SHORT,WIN,1.36111111,1.472222222221434,0.8333333333329221,True,True,True
448,BREAKOUT_SHORT,LOSS,-1.17857143,0.6071428571432254,1.0357142857145407,True,True,False
450,BREAKOUT_LONG,LOSS,-1.1,0.52499999999932,1.0,True,True,False
452,BREAKOUT_SHORT,LOSS,-1.09803922,0.9215686274509035,1.019607843137383,True,True,False
454,BREAKOUT_SHORT,LOSS,-1.20588235,0.14705882352971908,1.0882352941175701,False,False,False
456,TREND_LONG,LOSS,-1.03030303,0.06818181818192905,1.0,False,False,False
458,BREAKOUT_SHORT,LOSS,-1.10638298,0.6808510638300386,1.0212765957448215,True,True,False
460,TREND_SHORT,LOSS,-1.04098361,0.17213114754083741,1.008196721311529,False,False,False
462,RANGE_SHORT,LOSS,-1.06060606,0.2272727272724979,1.0,False,False,False
464,BREAKOUT_LONG,LOSS,-1.10526316,0.13157894736875936,1.0,False,False,False
466,BREAKOUT_LONG,LOSS,-1.18181818,1.3636363636355378,1.0,True,True,True
468,TREND_SHORT,LOSS,-1.03773585,0.20125786163514459,1.0125786163522839,False,False,False
